system@FIX9P.WORLD> /

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
Tablespace Name                    (in MB)     (in MB)     (in MB)   Space                     
------------------------------ ----------- ----------- ----------- -------                     
FIX_ISRVE                          2000.00         .00     1999.94  100.00                     
FIX_COPY                            800.00         .00      799.88   99.98                     
OEM_REPOSITORY                      201.00         .00      200.88   99.94                     
UNDOTBS1                          70000.00      216.09    69783.38   99.69                     
P_WH_SUP_EST_87                     300.00        1.00      298.94   99.65                     
P_WH_SUP_EST_88                     300.00        1.00      298.94   99.65                     
P_WH_SUP_EST_90                     300.00        1.00      298.94   99.65                     
P_WH_SUP_EST_89                     300.00        1.00      298.94   99.65                     
P_STG_SUP_EST_87                    500.00        5.00      494.94   98.99                     
PI_ACTREPI_MAX                     1000.00         .00      975.00   97.50                     
P_ACTREP_111                       3600.00      105.00     3494.88   97.08                     
VBS_LINE_P68                        100.00        4.00       95.94   95.94                     
FIX_WH_DIM                          800.00       34.13      765.75   95.72                     
VBS_LINE_P63                        100.00        5.00       94.94   94.94                     
VBS_LINE_P66                        100.00        5.00       94.94   94.94                     
VBS_LINE_P65                        100.00        5.00       94.94   94.94                     
VBS_LINE_P69                        100.00        5.00       94.94   94.94                     
VBS_LINE_P70                        100.00        5.00       94.94   94.94                     
VBS_LINE_P62                        100.00        6.00       93.94   93.94                     
VBS_LINE_P64                        100.00        6.00       93.94   93.94                     
VBS_LINE_P67                        100.00        6.00       93.94   93.94                     
VBS_LINE_P61                        100.00        7.00       92.94   92.94                     
VB_STAGE_FREELIST                   250.00       19.00      230.94   92.38                     
VB_STAGE                           2500.00      193.00     2306.94   92.28                     
PI_ACTREP_83                        110.00         .00      100.00   90.91                     
DISCO                              2500.00      241.38     2258.50   90.34                     
PI_OPFACT_MAX                      2000.00      100.00     1800.00   90.00                     
SALSA_DIM                           500.00       50.00      449.94   89.99                     
AUD_SYS                             500.00       55.00      444.94   88.99                     
VBS_DATA_P61                        100.00       11.00       88.94   88.94                     
VBS_DATA_P62                        100.00       12.00       87.94   87.94                     
VBS_DATA_P67                        100.00       12.00       87.94   87.94                     
VBS_DATA_P68                        100.00       12.00       87.94   87.94                     
VBS_DATA_P66                        100.00       12.00       87.94   87.94                     
VBS_DATA_P63                        100.00       12.00       87.94   87.94                     
VBS_DATA_P65                        100.00       12.00       87.94   87.94                     
VBS_DATA_P64                        100.00       12.00       87.94   87.94                     
FS_DATA                             100.00       13.00       86.94   86.94                     
VBS_DATA_P80                        400.00       54.00      345.94   86.48                     
VBS_DATA_P81                        400.00       54.00      345.94   86.48                     
VBS_DATA_P79                        400.00       55.00      344.94   86.23                     
VBS_DATA_P82                        400.00       55.00      344.94   86.23                     
VBS_DATA_P83                        400.00       55.00      344.94   86.23                     
VBS_LINE_P80                        300.00       42.00      257.94   85.98                     
VBS_LINE_P82                        300.00       43.00      256.94   85.65                     
CLW                                1000.00      149.00      850.94   85.09                     
PLINDEX_001                         400.00       61.94      338.00   84.50                     
VBS_LINE_P81                        300.00       48.00      251.94   83.98                     
VBS_LINE_P79                        300.00       49.00      250.94   83.65                     
VBS_LINE_P83                        300.00       49.00      250.94   83.65                     
PI_ACTREPI_111                     3000.00      525.00     2474.94   82.50                     
